Iteration, Max iteration, Mean abs differential rot err, Min differential rotation err, Mean abs differential trans err, Min differential translation err
0, 40, 0, 0.001, 0, 0.01
1, 40, 0, 0.001, 0, 0.01
2, 40, 0, 0.001, 0, 0.01
3, 40, 0, 0.001, 0, 0.01
4, 40, 0.0297593, 0.001, 0.745147, 0.01
5, 40, 0.0189976, 0.001, 0.523795, 0.01
6, 40, 0.0174955, 0.001, 0.34118, 0.01
7, 40, 0.0185796, 0.001, 0.194515, 0.01
8, 40, 0.0173108, 0.001, 0.114826, 0.01
9, 40, 0.0145681, 0.001, 0.0845064, 0.01
10, 40, 0.013124, 0.001, 0.0807359, 0.01
11, 40, 0.0128703, 0.001, 0.0859544, 0.01
12, 40, 0.0127819, 0.001, 0.0865263, 0.01
13, 40, 0.0125571, 0.001, 0.0860943, 0.01
14, 40, 0.0123343, 0.001, 0.0878605, 0.01
15, 40, 0.011815, 0.001, 0.0828412, 0.01
16, 40, 0.0103535, 0.001, 0.0760228, 0.01
17, 40, 0.00846631, 0.001, 0.0633644, 0.01
18, 40, 0.00641661, 0.001, 0.0468305, 0.01
19, 40, 0.00468418, 0.001, 0.0385746, 0.01
20, 40, 0.00355993, 0.001, 0.0315961, 0.01
21, 40, 0.00266811, 0.001, 0.0266102, 0.01
22, 40, 0.0022475, 0.001, 0.0218018, 0.01
23, 40, 0.00203129, 0.001, 0.0190419, 0.01
24, 40, 0.00187225, 0.001, 0.0172764, 0.01
25, 40, 0.0018076, 0.001, 0.0145339, 0.01
26, 40, 0.00126816, 0.001, 0.0132221, 0.01
27, 40, 0.000896209, 0.001, 0.0101519, 0.01
